,comp_name,description,business_model,customer,keywords,stage,total_funding,num_investors,date_founded,location,employees,website
10,MOA Foodtech,MOA foodtech combina biotecnología e inteligencia artificial para convertir los residuos y subproductos de la industria agroalimentaria en una ''next generation protein'' con alto valor nutricional y 100% sostenible.,,,Foodtech,,1.5,1.0,2020.0,"España, Navarra",,https://www.moafoodtech.com/
11,Arroces La Bomba,"Arroces La Bomba (Rice in Action) ha desarrollado una novedosatecnología de cocción y preparación del arroz que permite encapsular caldo y diferentes saborizantesdesacoplando el proceso productivo de cocinado del acabado final. No se trata de una arrocería ni un proyecto de hostelería, sino que Arroces la Bomba es una compañía emergente con gran potencial de escalabilidad dado que su tecnología permite pre-procesar el arroz evitando a sus clientes finales (hostelero o restaurador) tener que emplear caldos o líquidos para la cocción final, acortando el tiempo de cocción un 80% y manteniendo un nivel de calidad en el grano muy alto.",,B2B,Foodtech,,0.44,0.0,2021.0,"Comunidad de Madrid, España",,https://www.arroceslabomba.com
12,Crehana,,,,,,87.5,0.0,,"América, Perú",,
13,Typeform,"Typeform es una plataforma SaaS sin código con herramientas cuidadosamente diseñadas que ayudan a las empresas a hacer crecer su negocio interactuando con su audiencia. Ofreciendo formularios amigables para las personas, cuestionarios, encuestas y soluciones de video asíncronas, Typeform convierte las interacciones digitales en una conexión humana. ",,,,,152.75,1.0,2012.0,"Cataluña, España",,https://www.typeform.com/es/
14,Civitatis,"Civitatis es la compañía líder en distribución online de visitas guiadas, excursiones y actividades en español por todo el mundo con más de 70.000 actividades en 3.090 destinos repartidos en 145 países. Desde su nacimiento en 2008, más de 12 millones de viajeros han llenado su viaje con Civitatis.",,B2B,"Traveltech,Turismo",,100.0,0.0,2008.0,"Comunidad de Madrid, España",,https://www.civitatis.com/es/
15,Amenitiz,Amenitiz es una plataforma todo-en-uno diseñada para ayudar a los hoteleros y cualquier propietario de alojamiento turístico crecer y administrar su negocio de manera más eficiente.,,B2B,"Traveltech,Turismo",,34.09,0.0,2017.0,"Cataluña, España",,https://www.amenitiz.io
16,Savana Med,"Savana es una compañía médica internacional cuyo objetivo es acelerar la ciencia en salud, poniendo en manos de profesionales sanitarios el valor clínico que existe en las historias clínicas electrónicas usando Inteligencia Artificial (IA) y Procesamiento del Lenguaje Natural Clínico (Clínica Natural Language Processing, cNLP).",,,Ehealth,,34.71,1.0,2014.0,"Comunidad de Madrid, España",,https://savanamed.com
17,MOA Foodtech,MOA foodtech combina biotecnología e inteligencia artificial para convertir los residuos y subproductos de la industria agroalimentaria en una ''next generation protein'' con alto valor nutricional y 100% sostenible.,,,Foodtech,,1.5,1.0,2020.0,"España, Navarra",,https://www.moafoodtech.com/
18,Elliot Cloud,"Elliot Cloud es una empresas tecnológica que ha desarrollado una plataforma software capaz de integrar un abanico de soluciones tecnológicas que permiten la gestión de las infraestructuras humanas y construidas, vinculándolas entre si. Despliegan soluciones en una única Plataforma Horizontal Open Source, que permite gestionar y controlar todas las infraestructuras basándonos en los datos. Gestionan el agua potable de 25 millones de personas, controlan y analizan más de 10GW de generación de energía renovable, adquieren y analizan más de 1000 millones de datos en entornos industriales, dan soporte a los servicios públicos de más de 30 millones de ciudadanos, entre otras cosas.",,,Cloud,,,0.0,2020.0,"España, La Rioja",,https://elliotcloud.com/
19,Colvin,"Colvin es una empresa nacida a finales del 2016 que ha revolucionado la industria de las flores y plantas en el sector online mediante un modelo de negocio disruptivo y creando la primera red sin intermediarios del sector. El equipo selecciona cuidadosamente las flores, plantas y a los productores con los que trabaja para garantizar la mejor calidad, diseño y un servicio excepcional. Su misión es crear momentos memorables a través de las flores y plantas para poder crear un mundo más unido y conectado. Actualmente Colvin tiene un equipo de más de 200 personas y opera en España, Portugal, Italia y Alemania.",,,,,69.0,7.0,2016.0,"Comunidad de Madrid, España",,https://www.thecolvinco.com/es
20,Kubbo,"Kubbo se ha posicionado como una de las empresas logísticas más innovadoras de España. Ofrecen sus servicios de preparación de pedidos para marcas nativas digitales y eCommerce así como la entrega Same-Day y Next-Day e Internacional a través de una red cada vez más extensa de almacenes ubicados estratégicamente, donde las tiendas online y empresas de eCommerce pueden gestionar y realizar las entregas de los pedidos de sus clientes, garantizándoles una recepción más rápida. También les permite almacenar y gestionar el inventario de productos y realizar devoluciones, entre otros servicios. La tecnología de Kubbo se integra rápidamente con todas las plataformas de eCommerce, y desde su aplicación web se pueden gestionar todas las operaciones y hacer su seguimiento en tiempo real. Todo ello permite que las marcas puedan enfocar sus esfuerzos en la atracción de nuevos clientes y conversión de ventas mediante el ahorro de costes operativos, tiempos de gestión y así ayudarlas a escalar más rápido.",,,Logistica,,1.27,6.0,2019.0,"Cataluña, España",,https://kubbo.io
21,UKIO,"UKIO es una startup que ofrece apartamentos diseñados con las más artísticas e ingeniosas estéticas, totalmente equipados, ofreciendo todo aquello que el cliente necesita.",,,Proptech,,7.6,1.0,2020.0,"Cataluña, España",,https://www.stayukio.com/es
22,Frenetic,"Frenetic es una startup de eletrónica de potencia que ayuda a todo tipo de empresas de electrónica compleja a reducir tiempos y costes en el diseño y fabricación de los componentes magnéticos de sus productos. Esto lo consiguen a través de un software desarrollado por la propia marca basado en inteligencia artificial y ""cloud-computing"". Este permite a los propios ingenieros de las firmas con las que trabaja diseñar y gestionar la fabricación online en apenas minutos, proceso que sin esta tecnología podría llevar meses, con el consiguiente gasto energético y de materiales debido a las iteraciones necesarias. En sus dos años de vida ya cuenta con más de 70 clientes en todo el mundo, entre ellos firmas como Airbus, Siemens o Texas Instruments, y a llevado sus magnéticos a la carretera, cielo y espacio.",,,,,4.85,3.0,2015.0,"Comunidad de Madrid, España",,https://spfrenetic.com/
23,SYCAI Medical,Sycai Medical es una startup tecnológica que desarrolla software basado en Deep Learning para facilitar el diagnóstico de lesiones abdominales en TACs y Resonancias Magnéticas. Su primer producto ayuda a los radiólogos en la detección y clasificación de lesiones en el páncreas con el objetivo de diagnosticar de manera precoz el cáncer de páncreas a la vez que reduce el número de pruebas innecesarias y la carga de trabajo de los radiólogos,,,Ehealth,,0.78,2.0,2020.0,"Cataluña, España",,https://www.sycaimedical.com
24,Getlife,"Getlife, la nueva startup de seguros de vida que ha llegadopararenovar el sector. El seguro con cobertura de fallecimiento e invalidez flexible, 100% online y que se puede contratar en tan solo 5 minutos. Getlife es una insurtechcon la tecnología más avanzada, que quiere hacer llegar a todas las personas un seguro de vida con las mejores condiciones. Sin letra pequeña, sin permanencia y que podrás pagar mes a mes sin ningún tipo de recargo. Su objetivo es que todo el mundo encuentre el seguro de vida que mejor se adapte a sus necesidadesparapoder conseguir la tranquilidad que buscan.",,,Insurtech,,7.0,0.0,2021.0,"Comunidad de Madrid, España",,https://getlife.es/
25,Smowltech,"Smowltech es una empresa europea que ha desarrollado el software para supervisión de exámenes en línea (Proctoring) llamado SMOWL. Su objetivo es brindar apoyo a las organizaciones para mejorar el aseguramiento de la calidad de las evaluaciones online, aumentando su integridad y credibilidad, proporcionando una solución integrada con inteligencia artificial para que las organizaciones puedan tomar decisiones basadas en evidencias.",,,Ciberseguridad,,1.65,1.0,2012.0,"España, País Vasco",,https://smowl.net/es/
26,Sheetgo,"Sheetgo es una plataforma basada en la nube (SaaS) que permite a cualquier persona crear, automatizar, compartir y controlar sus flujos de trabajo directamente desde las hojas de cálculo. Fue fundada en 2016 por Yannick Rault van der Vaart y Jonatan Gomes Da Silva, y más tarde se unieron al proyecto Chad Pittman y Rafael Vidal. Las hojas de cálculo son el sistema heredado más grande del mundo con 1 billón de usuarios y ahora que está en línea, la cantidad de hojas de cálculo se duplica cada año.",,,,,3.28,1.0,2016.0,"Comunidad Valenciana, España",,https://www.sheetgo.com/
27,Corify Care,"Corify Carees una startup médica centrada en las arritmias cardíacas surgida del Hospital Gregorio Marañón. Corify ha desarrollado Acorys®, un dispositivo médico capaz de mostrarles a los clínicos la actividad en cada punto del corazón. A partir de un único latido, Acorys® llega a todas las regiones cardiacas de forma simultánea, sin necesidad de cirugías ni de lentos mapeos punto a punto. El objetivo de Corify es cambiar la forma en que se trata a los pacientes con arritmias cardíacas, las cuales afectan a más de 30 millones de pacientes en todo el mundo, duplicando la probabilidad de morir.",,B2B,Biotech,,5.7,1.0,2019.0,"Comunidad de Madrid, España",,https://corify.es
28,Fossa Systems,"En FOSSA Systems desarrollan plataformas picosatelitales, cuya masa es inferior a un 1kg y que siguen el estándar de diseño PocketQube (5x5x5cm). Con ellos, brindan comunicaciones IoT dedicadas y seguras a empresas y redes de defensa, con activos en ubicaciones remotas donde no hay conectividad móvil. FOSSA Systems tiene una herencia de vuelo desde 2019 con misiones exitosas como FOSSASAT-1, el primer picosatélite construido y puesto en órbita de España, y el tercero del mundo.",,,Aeroespacial,,,0.0,2020.0,"Comunidad de Madrid, España",,http://fossa.systems/
29,Harbest Market,"HarBest Market es la primera plataforma que permite a los restaurantes comprar directamente a pequeños agricultores, con nombre y apellidos, de toda España, y recibirlo todo en un mismo reparto. De esta forma los restaurantes pueden tener su propia cartera de agricultores, en una misma plataforma digital. Permitiéndose así, precios más justos en origen, defensa de la marca personal de los agricultores y producto de mayor calidad y frescura en los restaurantes.ODS (2,8 y 12).2. Poner fin al hambre, conseguir la seguridad alimentaria y una mejor nutrición, y promover la agricultura sostenible.8. Fomentar el crecimiento económico sostenido, inclusivo y sostenible, el empleo pleno y productivo, y el trabajo decente para todos.12.Garantizar las pautas de consumo y de producción sostenibles.",,,Agrotech,,1.25,3.0,2020.0,"Comunidad de Madrid, España",,http://www.harbestmarket.com/
30,Hamelyn,"Hamelyn nace como un re-commerce online de libros de segunda mano. Los usuarios escanean los códigos de barra de sus libros en la web/app, reciben un precio fijo por ellos y venden. Los recogen gratis y se hace el pago de forma instantánea. Quieren ser capaces de aplicar este modelo a muchas otras categorías de producto y revolucionar la experiencia de vender todo aquello que no necesitas y creando a su vez una tienda online de segunda mano líder donde los usuarios puedan comprar todo tipo de productos.",,,Marketplace,,1.0,3.0,2020.0,"Comunidad de Madrid, España",,https://hamelyn.com/home   
31,Typeform,"Typeform es una plataforma SaaS sin código con herramientas cuidadosamente diseñadas que ayudan a las empresas a hacer crecer su negocio interactuando con su audiencia. Ofreciendo formularios amigables para las personas, cuestionarios, encuestas y soluciones de video asíncronas, Typeform convierte las interacciones digitales en una conexión humana. ",,,,,152.75,1.0,2012.0,"Cataluña, España",,https://www.typeform.com/es/
32,Civitatis,"Civitatis es la compañía líder en distribución online de visitas guiadas, excursiones y actividades en español por todo el mundo con más de 70.000 actividades en 3.090 destinos repartidos en 145 países. Desde su nacimiento en 2008, más de 12 millones de viajeros han llenado su viaje con Civitatis.",,B2B,"Traveltech,Turismo",,100.0,0.0,2008.0,"Comunidad de Madrid, España",,https://www.civitatis.com/es/
33,Amenitiz,Amenitiz es una plataforma todo-en-uno diseñada para ayudar a los hoteleros y cualquier propietario de alojamiento turístico crecer y administrar su negocio de manera más eficiente.,,B2B,"Traveltech,Turismo",,34.09,0.0,2017.0,"Cataluña, España",,https://www.amenitiz.io
34,Savana Med,"Savana es una compañía médica internacional cuyo objetivo es acelerar la ciencia en salud, poniendo en manos de profesionales sanitarios el valor clínico que existe en las historias clínicas electrónicas usando Inteligencia Artificial (IA) y Procesamiento del Lenguaje Natural Clínico (Clínica Natural Language Processing, cNLP).",,,Ehealth,,34.71,1.0,2014.0,"Comunidad de Madrid, España",,https://savanamed.com
35,Datos 101,"Datos101es una empresa tecnológica especializada en copias de seguridad de datos y de continuidad de negocio para empresas. Con un equipo de profesionales con más de 15 años de experiencia en sistemas de ciberseguridad, la compañía con sede central en Madrid cuenta con más de 600 partners a nivel internacional. Entre sus mayores garantías se encuentran su equipamiento en Data Centers Tier-IV en España (infraestructuras de alto rendimiento con el 99,999% de disponibilidad), así comoel cumplimiento de la ley RGPD y certificaciónISO 27001.",,,Ciberseguridad,,0.9,3.0,2017.0,"Comunidad de Madrid, España",,https://www.datos101.com/
36,Kuvu,Kuvu tiene la misión de mejorar la calidad de vida de las personas mayores previniendo y reduciendo la soledad no deseada. Su negocio es una plataforma de alojamiento compartido intergeneracional con un especial foco en la población mayor. Ofrecen seguridad y garantías a las personas mayores que viven solas para que puedan alquilar sus habitaciones vacías a personas jóvenes adecuadas que buscan alojamiento en su ciudad.,,,Proptech,,,0.0,2019.0,"España, País Vasco",,https://kuvu.eu
37,Arroces La Bomba,"Arroces La Bomba (Rice in Action) ha desarrollado una novedosatecnología de cocción y preparación del arroz que permite encapsular caldo y diferentes saborizantesdesacoplando el proceso productivo de cocinado del acabado final. No se trata de una arrocería ni un proyecto de hostelería, sino que Arroces la Bomba es una compañía emergente con gran potencial de escalabilidad dado que su tecnología permite pre-procesar el arroz evitando a sus clientes finales (hostelero o restaurador) tener que emplear caldos o líquidos para la cocción final, acortando el tiempo de cocción un 80% y manteniendo un nivel de calidad en el grano muy alto.",,B2B,Foodtech,,0.44,0.0,2021.0,"Comunidad de Madrid, España",,https://www.arroceslabomba.com
38,Calíope,"Calíope es la primera APP en español diseñada para potenciar el bienestar sexual de las mujeres a través de audioguías diseñadas por psicólogas, sexólogas y especialistas. Consta de un apartado de audio relatos eróticos grabado por actores profesionales y otro apartado de bienestar sexual y personal diseñado por psicólogas y sexólogas.",,,Ehealth,,0.29,2.0,2020.0,"Comunidad de Madrid, España",,https://caliope.app/
39,Fuel Your Brands,"Fuel Your Brands es una plataforma que conecta a marcas con microinfluencers, automatizando todo el proceso de gestión de campañas de principio a fin. Gracias a su tecnología, han conseguido reducir el tiempo de gestión por perfil de 10 horas a 10 minutos y además también, gracias a esa automatización han reducido un 90% los costes, haciendo accesible este tipo de estrategia a cualquier empresa, indiferentemente de su tamaño.",,,"Marketing,Media",,0.71,2.0,2020.0,"Comunidad de Madrid, España",,https://fuelyourbrands.com/
40,Patronus,"Patronus es una plataforma de patrocinio deportivo que mediante cryptomonedas ayuda a las jóvenes promesas del deporte a crecer en sus carreras. ¿Cómo? Tokenizando los derechos de imagen de los deportistas para que se revalorizen en paralelo a sus logros y rendimiento. Las empresas pueden adquirir estos tokens ayudando al deportista y además, con posibilidad de recibir un retorno de la inversión interesante cuando el deportista crezca profesionalmente.",,,,,0.1,1.0,2021.0,"Comunidad Valenciana, España",,https://www.wearepatronus.com
41,Crehana,,,,,,87.5,0.0,,"América, Perú",,
42,Crehana,,,,,,87.5,0.0,,"América, Perú",,
43,Jobandtalent,"Jobandtalent es un marketplace que conecta a trabajadores temporales con empresas a través de su plataforma tecnológica. La compañía, que a día de hoy tiene presencia en 8 países y ultima su llegada a nuevos mercados en 2022 como US, tiene como objetivo proporcionar estabilidad profesional a sus trabajadores ofreciéndoles continuas oportunidades laborales que encajan con sus intereses y experiencia, y beneficios que hasta ahora disfrutaban exclusivamente las personas con contratos fijos, como acceso a formación, seguros médicos o bajas y vacaciones pagadas en algunos mercados.",,,,,754.0,8.0,2009.0,"Comunidad de Madrid, España",,https://www.jobandtalent.com/
44,Idealista,"Idealista es una compañía española fundada el 4 de octubre de 2000 que ofrece a través de Internet entre otros los servicios de portal inmobiliario en España, Italia y Portugal. Desde julio de 2015 la compañía pasa a manos del fondo Apax Partners que cuenta con prácticamente el 100% de las acciones tras la compra de sus participaciones a Kutxabank, Tiger Capital, Bonsai Venture Capital y los socios fundadores.2​Según el market intelligence de Nielsen-Netratings (septiembre de 2009), Idealista cuenta con 144 millones de páginas vistas al mes y de 5,1 millones de usuarios únicos.​ Diariamente se envían 150 000 correos electrónicos con las características de los cerca de 2.000 anuncios nuevos que entran en la base de datos de idealista cada día. Esta información llega a los 590.000 usuarios registrados",,,,,425.0,0.0,2000.0,"Comunidad de Madrid, España",,https://www.idealista.com
45,Glovo,"Glovo es la plataforma tecnológica de referencia en el sector del delivery. Fundada en 2015 y con HQ en Barcelona, actualmente se encuentra en más de 900 ciudades en 24 países. Además de conectar a los usuarios con los mejores restaurantes de su ciudad, incluye el servicio de otras categorías como alimentación, parafarmacia, regalos o envíos exprés. En España, Glovo está disponible en cerca de 400 ciudades.",,B2C,,,898.0,10.0,2015.0,"Cataluña, España",,https://glovoapp.com/
46,Capchase,"Capchase ayuda a compañías de internet a acceder al capital de su caja futura bloqueado en contratos mensuales o trimestrales. Capchase permite así a estas compañías de software incrementar su runway hasta un 50%, aumentar su facturación hasta un 80%, y reducir la dilución de sus fundadores e inversores.",,,Fintech,,466.78,0.0,2020.0,"Comunidad de Madrid, España",,https://www.capchase.com
47,Travelperk,"TravelPerk es la innovadora plataforma de viajes de negocios que define el futuro de los viajes de negocios. La plataforma todo en uno de TravelPerk da a los viajeros la libertad que buscan y, a la vez, ofrece a las empresas el control que necesitan. El resultado es un mayor ahorro de tiempo y dinero, con menos complicaciones para todo el mundo.",,,"Traveltech,Turismo",,340.75,0.0,2016.0,"Cataluña, España",,https://www.travelperk.com/es/
48,Flywire,"Flywire- Peertransfer fue fundada en 2011 por Iker Marcaide, quien experimentó de primera mano todas las dificultades de pagar la universidad desde otro país, debido a que los pagos tradicionales carecían de transparencia, no se podían rastrear y estaban sujetos a comisiones y tipos de cambio fluctuantes. Por ello decidió crear un método para resolverlo: PeerTransfer, la compañía que hoy se conoce como Flywire, y cuyo equipo aporta su conocimiento desde los campos de la  educación, los pagos, la tecnología y la asistencia al cliente para resolver este problema.",,,Fintech,,196.5,2.0,2011.0,"Comunidad Valenciana, España",,https://www.peertransfer.com/
49,Cabify,"Cabify es una empresa española de movilidad que pone en contacto a usuarios particulares y empresas con las formas de transporte que mejor se adaptan a sus necesidades. Su principal objetivo es hacer de las ciudades mejores lugares para vivir. Para ello, busca una movilidad más eficiente y eficaz proporcionando, a través de la tecnología, una opción de transporte multimodal, segura y de calidad. Es la primera MaaS en Europa y LatAm en compensar el CO2 generado, y miembro del Pacto Mundial de la ONU desde 2018. La compañía cuenta con más de 33 millones de usuarios registrados en todo el mundo, más de 400.000 conductores colaboradores y 65.000 empresas como clientes registrados en su división de movilidad corporativa.",,,Movilidad,,327.6,11.0,2011.0,"Comunidad de Madrid, España",,https://cabify.com/es
50,Idealista,"Idealista es una compañía española fundada el 4 de octubre de 2000 que ofrece a través de Internet entre otros los servicios de portal inmobiliario en España, Italia y Portugal. Desde julio de 2015 la compañía pasa a manos del fondo Apax Partners que cuenta con prácticamente el 100% de las acciones tras la compra de sus participaciones a Kutxabank, Tiger Capital, Bonsai Venture Capital y los socios fundadores.2​Según el market intelligence de Nielsen-Netratings (septiembre de 2009), Idealista cuenta con 144 millones de páginas vistas al mes y de 5,1 millones de usuarios únicos.​ Diariamente se envían 150 000 correos electrónicos con las características de los cerca de 2.000 anuncios nuevos que entran en la base de datos de idealista cada día. Esta información llega a los 590.000 usuarios registrados",,,,,425.0,0.0,2000.0,"Comunidad de Madrid, España",,https://www.idealista.com
51,Vamos,"Vamos es la plataforma española líder en renting de coches online. Fundada en 2019 por el emprendedor Mario Carranza ( Cabify,  Amovens) con el respaldo de inversores internacionales (Axel Springer), Vamos tiene la misión de crear una nueva forma de tener coche, a través de la tecnología y una excelente experiencia de cliente.",,,,,,1.0,2019.0,"Comunidad de Madrid, España",,https://www.vamos.es
52,Cabify,"Cabify es una empresa española de movilidad que pone en contacto a usuarios particulares y empresas con las formas de transporte que mejor se adaptan a sus necesidades. Su principal objetivo es hacer de las ciudades mejores lugares para vivir. Para ello, busca una movilidad más eficiente y eficaz proporcionando, a través de la tecnología, una opción de transporte multimodal, segura y de calidad. Es la primera MaaS en Europa y LatAm en compensar el CO2 generado, y miembro del Pacto Mundial de la ONU desde 2018. La compañía cuenta con más de 33 millones de usuarios registrados en todo el mundo, más de 400.000 conductores colaboradores y 65.000 empresas como clientes registrados en su división de movilidad corporativa.",,,Movilidad,,327.6,11.0,2011.0,"Comunidad de Madrid, España",,https://cabify.com/es
53,Glovo,"Glovo es la plataforma tecnológica de referencia en el sector del delivery. Fundada en 2015 y con HQ en Barcelona, actualmente se encuentra en más de 900 ciudades en 24 países. Además de conectar a los usuarios con los mejores restaurantes de su ciudad, incluye el servicio de otras categorías como alimentación, parafarmacia, regalos o envíos exprés. En España, Glovo está disponible en cerca de 400 ciudades.",,B2C,,,898.0,10.0,2015.0,"Cataluña, España",,https://glovoapp.com/
54,Letgo,,,,,,578.3,0.0,,"Cataluña, España",,
55,Amadix,"Amadix es una startup biotecnológica especializada en el diagnóstico preventivo oncológico que ha desarrollado Colofast, un análisis de sangre para detectar si una persona va a tener un cáncer de colon a través de biomarcadores moleculares, varios años antes de que aparezcan los primeros síntomas.",,,,,,1.0,2010.0,"Cataluña, España",,http://www.amadix.com/
56,Peptomyc,"Peptomyc es una compañía enfocada en el desarrollo de una nueva generación de péptidos penetrantes de células (CPP) dirigidos a la oncoproteína Myc para el tratamiento del cáncer.  La compañía fue fundada en diciembre de 2014 y se basa en la investigación científica de la Dra. Soucek durante los últimos veinte años, en Omomyc (el mejor inhibidor directo de Myc conocido hasta la fecha).",,,Ehealth,,25.2,0.0,2014.0,"Cataluña, España",,http://www.peptomyc.com
57,Universal DX,"Universal DX es una empresa de biotecnología y bioinformática con la misión de convertir el cáncer en una enfermedad curable a través de su detección temprana. Para ello, ha desarrollado una plataforma tecnológica basada en epigenética y machine learning capaz de detectar múltiples tipos de cáncer con un simple análisis de sangre. Su primer test permite detectar cáncer de colon e incluso su fase pre-cancerígena, los adenomas avanzados, y estará en el mercado en 2022. Universal DX ha levantado más de 50 millones de euros de inversores privados de toda Europa, y está preparando el lanzamiento de su primer test en el mercado americano desde su sede en Boston.",,,Biotech,,14.0,0.0,2012.0,"Andalucía, España",,https://www.universaldx.com
58,Ona Therapeutics,,,,Biotech,,1.5,2.0,2019.0,"Cataluña, España",,https://ona-therapeutics.com
